% Model,Untitled.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 11 2026, 13:20"
% Dimension,2
% Nodes,21
% Expressions,16
% Description,"Temperature, Moisture"
% Length unit,m
% X,Y,T (1) @ t=0,C (1) @ t=0,T (1) @ t=100,C (1) @ t=100,T (1) @ t=300,C (1) @ t=300,T (1) @ t=600,C (1) @ t=600,T (1) @ t=900,C (1) @ t=900,T (1) @ t=1200,C (1) @ t=1200,T (1) @ t=1500,C (1) @ t=1500,T (1) @ t=1800,C (1) @ t=1800
0,5.0E-4,27.999999999999993,2.5499999999999994,28.00004919918382,2.55,28.040605314924246,2.55,28.45343076605954,2.5499999999999994,29.324292014407053,2.5499999999409906,30.542653659290032,2.549999980032378,31.99553255219406,2.5499993028223447,33.57514714039127,2.5499923704541536
0.001,5.0E-4,28.000000000000004,2.5500000000000003,28.000055505466296,2.5499999999999994,28.04145355445421,2.5500000000000003,28.45667604333493,2.5499999999999954,29.3296004209941,2.549999999840266,30.549295575030552,2.5499999626270866,32.00315108210016,2.5499989311604123,33.58300302485168,2.549989603405796
0.002,5.0E-4,27.999999999999993,2.55,28.000076388275083,2.5500000000000007,28.044029604964113,2.5500000000000007,28.466443617518024,2.5499999999999177,29.34555185166277,2.549999999062447,30.56924033720123,2.5499998702908404,32.02601815951838,2.549997309691069,33.60657290399514,2.549978815805901
0.003,5.0E-4,28,2.55,28.00011821180975,2.550000000000001,28.04842739538025,2.5500000000000007,28.482828469141673,2.549999999998739,29.37222442650452,2.549999994075696,30.602544812385037,2.549999498641375,32.06416789964765,2.5499923160681,33.64586378119768,2.549950689254608
0.004,5.0E-4,28,2.5500000000000003,28.000193263223803,2.5500000000000003,28.054803876062895,2.550000000000001,28.50598875627885,2.549999999982051,29.409747156369587,2.5499999639587987,30.649303538475017,2.5499980817003975,32.11765621939614,2.5499778441224166,33.700888469140395,2.5498824890296397
0.005,5.0E-4,28.000000000000004,2.5500000000000003,28.000322497867344,2.550000000000001,28.063379475348334,2.5500000000000003,28.536145592379775,2.5499999997689686,29.45829801790141,2.5499997953991955,30.70964819091377,2.5499929685770577,32.18655932615606,2.549937736306953,33.77166731597992,2.5497237490483085
0.006,5.0E-4,27.999999999999993,2.55,28.000539837328333,2.55,28.074438685596856,2.5499999999999985,28.57358289374485,2.54999999735944,29.5181011647053,2.549998930757904,30.78374664193547,2.549975637580236,32.27097148044559,2.549831832771568,33.85823064014829,2.549368779111069
0.007,5.0E-4,28,2.55,28.000898463603694,2.55,28.088330835913517,2.5499999999999523,28.618647394774477,2.549999973512245,29.589423229446645,2.54999489085573,30.87180150060248,2.5499207342187424,32.37100191070558,2.549566438187645,33.96062183323231,2.548608045763313
0.008,5.0E-4,28.000000000000004,2.5500000000000003,28.001479631295094,2.5500000000000003,28.10547116875815,2.5499999999982985,28.671748741463393,2.549999768698496,29.672568634101587,2.5499777629737577,30.974048029592293,2.5497586884406713,32.48677068056989,2.5489369365324444,34.0789009718077,2.547048959063085
0.009000000000000001,5.0E-4,28,2.5500000000000003,28.00240459002383,2.55,28.12634276633173,2.54999999994626,28.733359539579812,2.549998251043414,29.767874013686647,2.5499120220231686,31.090751548303906,2.5493139656116024,32.61840329517492,2.547526117171127,34.21314861302883,2.543997771930673
0.01,5.0E-4,28.000000000000004,2.5500000000000003,28.003850204730522,2.55,28.15150024245206,2.549999998535462,28.804014901350595,2.5499885852519726,29.8757019063856,2.549683888923268,31.222204570795647,2.5481803885297314,32.76602372443934,2.544541618691197,34.36346918049735,2.5383006399416383
0.011,5.0E-4,28,2.5500000000000003,28.00606880056321,2.55,28.18157674140098,2.5499999666020727,28.884310799786437,2.549935798593617,29.9964340068593,2.54896865502269,31.368724150219094,2.545498334937003,32.92974542776127,2.538585096470167,34.52999302793064,2.5281549225150957
0.012,5.0E-4,28.000000000000004,2.5500000000000003,28.009412684034857,2.549999999999993,28.217296547928836,2.549999384196766,28.97490057655764,2.5496888667491255,30.130464423770597,2.54694301344529,31.53065011186183,2.539608196886941,33.109659863385815,2.5273684406956676,34.71287598518312,2.5109199314278383
